UniProt,MitoCarta3.0_SubMitoLocalization
P08574,MIM
P21912,MIM
Q99807,MIM
P31040,MIM
P31930,MIM
Q5HYK3,MIM
P08559,Matrix
O75208,MIM
P52815,Matrix
P30049,MIM
P20674,MIM
Q86U28,Matrix
O75439,Matrix
P47985,MIM
P25705,MIM
Q02218,Matrix
P11177,Matrix
P22695,MIM
O14521,MIM
P82673,Matrix
O14949,MIM
Q96EL3,Matrix
P11182,Matrix
Q16654,MIM
P40926,Matrix
Q92552,Matrix
O75390,Matrix
Q9HAV7,Matrix
P10515,Matrix
P42704,Matrix
P36957,Matrix
O00330,Matrix
Q96RP9,Matrix
O95563,MIM
P28331,MIM
Q9H2W6,Matrix
P56381,MIM
Q00325,MIM
Q9Y3D9,Matrix
P07954,Matrix
Q10713,Matrix
P06576,MIM
Q5VUM1,Matrix
Q9UDW1,MIM
Q9BUE6,Matrix
Q9P2R7,Matrix
Q9NZJ6,MIM
Q9NSE4,Matrix
P82914,Matrix
P50213,Matrix
Q9Y6N1,MIM
Q16134,MIM
P62072,MIM
Q9BQ48,Matrix
Q5T653,Matrix
P12694,MIM
P07919,MIM
Q9BW72,MIM
P48047,MIM
P30084,Matrix
Q6P1Q0,Membrane
P12074,MIM
Q7KZN9,MIM
Q9Y4W6,MIM
P40939,MIM
P13804,Matrix
O75251,MIM
P23786,MIM
P21953,MIM
O43837,Matrix
Q15031,Matrix
P16219,Matrix
O95202,MIM
P56385,MIM
O60313,MIM
Q13825,Matrix
P53597,Matrix
P19404,MIM
Q9Y2Z9,MIM
Q8N983,Matrix
Q8NFV4,Matrix
P18859,MIM
O95169,MIM
P36776,Matrix
P09622,Matrix
O95831,MIM
Q96DC8,Matrix
Q6UXV4,MIM
Q7Z7H8,Matrix
Q96E11,Matrix
O00217,MIM
P11310,Matrix
Q16891,MIM
Q9Y5J7,MIM
P12235,MIM
Q9Y512,MOM
O75306,MIM
P49821,MIM
Q99798,Matrix
Q8IYB8,Matrix
P22830,MIM
P46199,Matrix
P35232,MIM
Q6NVY1,Matrix
Q9Y399,Matrix
P38646,Matrix
Q15526,MIM
P30048,Matrix
Q9H3K2,MIM
Q8N442,Matrix
Q9Y5L4,MIM
Q9HD34,Matrix
Q9NX20,Matrix
Q9NQ50,Matrix
P51553,Matrix
Q99643,MIM
O43674,MIM
Q9NX18,Matrix
Q96MF6,MIM
P30042,Matrix
Q99757,Matrix
Q9NVS2,Matrix
P09669,MIM
Q9Y6M9,MIM
Q9Y6C9,MOM
P56556,MIM
O43772,MIM
Q9BYD6,Matrix
O43615,MIM
Q14061,IMS
Q5TGZ0,MIM
P04179,Matrix
P14854,MIM
P21796,MOM
Q16740,Matrix
Q16836,Matrix
P28330,MIM
P24752,Matrix
