UniProt,MitoCarta3.0_SubMitoLocalization
Q9D0M3,MIM
P35486,Matrix
Q9D3D9,MIM
Q9DCB8,Matrix
Q9D051,Matrix
Q9CZ13,MIM
Q8K1Z0,MIM
Q9DB15,Matrix
Q8BJZ4,Matrix
P12787,MIM
Q9CR68,MIM
P97478,MIM
Q8K2B3,MIM
Q9CQA3,MIM
Q03265,MIM
Q8BTE0,Matrix
Q9CXT8,Matrix
Q9CXV1,MIM
Q9DB77,MIM
Q9CXI0,MIM
Q60597,Matrix
Q9CQ69,MIM
P08249,Matrix
P53395,Matrix
Q8BMF4,Matrix
Q6PB66,Matrix
Q9D1H8,Matrix
Q9D2G2,Matrix
Q8BKZ9,Matrix
Q8K0D5,Matrix
Q99LP6,Matrix
Q9D023,MIM
Q8R1I1,MIM
Q8BMS4,MIM
P56382,MIM
Q8VEM8,MIM
Q99N91,Matrix
Q9DC71,Matrix
Q9CZB0,MIM
P56480,MIM
Q8VE22,Matrix
Q99LC5,Matrix
P97807,Matrix
Q8BK72,Matrix
Q9D924,Matrix
Q9D6R2,Matrix
Q91VD9,MIM
Q9JLZ3,Matrix
Q8JZQ2,MIM
Q9DC61,Matrix
Q6P8I6,MIM
Q9Z2I9,Matrix
Q8VDC0,Matrix
Q9DB20,MIM
Q9EQI8,Matrix
Q8BJ03,MIM
Q9CQJ1,MIM
P99028,MIM
Q921G7,MIM
P62073,MIM
Q8BH95,Matrix
Q8BMS1,MIM
Q3U3J1,MIM
Q9WUM5,Matrix
Q9CZU6,Matrix
P43024,MIM
Q07417,Matrix
Q9D6J6,MIM
Q8BIJ6,Matrix
Q8R1S0,MIM
Q06185,MIM
Q91VA7,Matrix
Q9CQZ5,MIM
Q9Z2I0,MIM
Q91YY4,Matrix
Q924D0,Matrix
Q5RL20,Matrix
Q8K4F5,Matrix
Q9D880,MIM
Q9D1B9,Matrix
Q8C6I2,Matrix
Q9D6J5,MIM
O08749,Matrix
Q91WD5,MIM
Q91YT0,MIM
P58281,MIM
Q8CAQ8,MIM
Q78IK4,MIM
Q8CGK3,Matrix
Q924L1,Membrane
O70571,MIM
Q91YJ5,Matrix
Q8K3J1,MIM
Q9DC70,MIM
Q9D6S7,Matrix
Q9D773,Matrix
Q8R2Q4,Matrix
Q9WV98,MIM
Q8K411,Matrix
P45952,Matrix
Q80YD1,Matrix
Q99N96,Matrix
Q99KI0,Matrix
E9Q3H6,MIM
Q8BGH2,MOM
Q924T2,Matrix
P09925,MIM
Q9CY73,Matrix
P67778,MIM
Q8C3X4,Matrix
Q8BKF1,Matrix
Q91VC9,MIM
P62075,MIM
P52825,MIM
Q3TBW2,Matrix
Q923Z3,Matrix
P20108,Matrix
P48771,MIM
P97450,MIM
Q8CAK1,Matrix
Q9Z2Q5,Matrix
Q8QZS1,Matrix
P52503,MIM
Q9D0K2,Matrix
Q9D172,Matrix
Q9CQJ8,MIM
Q9CPQ1,MIM
P09671,Matrix
Q9CQH3,MIM
Q61425,Matrix
Q544X6,MIM
